name,participation_count,points,rank,ai_rank
KBX,4,9100,1758,
MofongoPirata,3,9100,1759,
cyb3r_n00bs,1,9100,1760,
ShadowNet Syndicate,1,9100,1761,
mafan-solo,1,9075,1762,
Trinity Cyber Club,6,9075,1763,
Moss's Angels,2,9050,1764,
BisonSquad,6,9050,1765,
s4Dge,1,9050,1766,
mimiz,2,9050,1767,
Cyber Uncles of Narnia,2,9050,1768,
abcdefghikmnl,1,9025,1769,
0xMast3r_pwn3rs,5,9025,1770,
au_phishers,4,9025,1771,
dnd,1,9025,1772,
SynEater,4,9025,1773,
BeeyondFirstFlag,2,9025,1774,
CyberNerdsEQ,2,9025,1775,
tchu-cha-cha-tchu-cha,3,9025,1776,
RogueHawks,5,9000,1777,
WVUP RiverHawks,3,9000,1778,
Mortal Maniacs,5,9000,1779,
a bunch of idiots,7,9000,1780,
solid_team,3,9000,1781,
N2L,2,9000,1782,
Ex3cution3r,1,9000,1783,
K4mi_Sec,2,9000,1784,
Lullaby,9,9000,1785,
edamame,1,9000,1786,
L34rn1ng,1,9000,1787,
Ukinnayo,3,8975,1788,
WeRunArchBtw,1,8975,1789,
OldDominionUniversity,8,8975,1790,
ANB G4G,1,8975,1791,
AAUniqorns,3,8950,1792,
o_0,1,8925,1793,
RedRavens,1,8925,1794,
ShadowAccess,1,8925,1795,
HackTheBoxGuate,1,8900,1796,
TotallyWipedOut,6,8900,1797,
D3K_C0M,1,8900,1798,
elempeh,2,8900,1799,
testteam3,2,8900,1800,
dedsec1337,1,8900,1801,
NF$C5,7,8900,1802,
isanet,2,8900,1803,
King0x1Team,4,8875,1804,
EastCityWestmen,2,8875,1805,
HaxorParty,1,8875,1806,
Viltrumite,2,8875,1807,
tibinary,2,8875,1808,
Pwnaroos,5,8825,1809,
C1m3d1R4p3,2,8775,1810,
The Realm Breakers,5,8750,1811,
Potato - Pomama,3,8725,1812,
BrookesCyberSociety,2,8725,1813,
h~Y`n6VYHb#5LhnKu6Sxf--gE%J>L/,1,8725,1814,
TH,1,8675,1815,
JKPirates,1,8675,1816,
TeamZAP-CTF,3,8675,1817,
GraveCyber,1,8650,1818,
bighax,4,8650,1819,
OuiLate 2600,4,8650,1820,
Brush and Floss,1,8650,1821,
1337_APT,2,8650,1822,
Integrated Hawkers,2,8625,1823,
CyberBucs 2025,4,8575,1824,
Blade × Guard,2,8575,1825,
kinakomochi,1,8575,1826,
UNNAM3DT3AM,2,8575,1827,
hack_tuah,4,8550,1828,
mihasha's team,1,8525,1829,
Ctrl+Alt+Del-icious,2,8525,1830,
wubwubdubdubdub,2,8525,1831,
4CTS,3,8475,1832,
░M░Y░ ░F░L░A░G░ ░I░N░ ░B░I░O░,1,8475,1833,
AAAAAAAAAAAAAAAAAAAAAAAAAAAAA,2,8450,1834,
roastedPineapple,1,8450,1835,
Amber Breeze,1,8450,1836,
GreenZoid,1,8425,1837,
theman321,1,8425,1838,
InfoWars,3,8425,1839,
SHIROHIGE_HAIBOKUSYA,1,8425,1840,
Midnight Orange,5,8400,1841,
Prahasta,7,8400,1842,
R3ktS3c,2,8400,1843,
DevBoo,3,8400,1844,
Code Nomads,1,8400,1845,
nextt,1,8375,1846,
ZeroDay Outlaws (ITP),5,8375,1847,
Just For The Questions,2,8375,1848,
TeamIt,4,8375,1849,
Flip,1,8350,1850,
Sigmoid,2,8350,1851,
ArSec,1,8350,1852,
h4ck3rn0nl4,1,8350,1853,
pepito,1,8350,1854,
watermelonC,3,8350,1855,
Nexus-Nektar,1,8350,1856,
0pt1mu5 n00b,1,8325,1857,
CoF Plus Some,2,8325,1858,
NullDrifters,1,8325,1859,
NWG,5,8325,1860,
DragonBoxZ,1,8325,1861,
Pwnstrudel,5,8300,1862,
fanfan,2,8300,1863,
BeProud,1,8300,1864,
Wolf1904,1,8300,1865,
Silent Sniperer,1,8300,1866,
BLUE-LEGION,9,8300,1867,
Null_Sect0r,3,8300,1868,
Witcher Moki,2,8300,1869,
shimodeus,1,8300,1870,
Gobey,4,8275,1871,
Ax10,1,8275,1872,
Northfire Studio,4,8275,1873,
CosmicStar,4,8275,1874,
CRT-SOFRECOM,2,8275,1875,
Sinestro,1,8275,1876,
Brotatoes,1,8250,1877,
OmdatDeStagiairHetLeukLijkt,1,8250,1878,
NopeNull,2,8250,1879,
RadiantRainbows,5,8250,1880,
The Binary Beasts,1,8250,1881,
Half Eaten Sandwich,1,8250,1882,
Wlad BaB Allah,4,8225,1883,
CyberSI_BDEB,5,8225,1884,
wefouawgbek,2,8225,1885,
dy5topia,1,8200,1886,
Wu-Tang LAN,1,8200,1887,
obsoleet,1,8200,1888,
SourCandy,1,8200,1889,
El D0rad0,1,8200,1890,
CSN - Cyber Coyotes & Friends,1,8200,1891,
€RR0R,8,8175,1892,
SECRET,6,8175,1893,
Shippai,2,8175,1894,
RunAsDexter,2,8175,1895,
Average Joes Gym,3,8175,1896,
seetief,4,8175,1897,
Justbrains,1,8175,1898,
Cyvergent,7,8175,1899,
NatureSec,1,8150,1900,
Daemon x,3,8150,1901,
It Hurts When IP,1,8150,1902,
systemctf,3,8150,1903,
4o4_Br0th3rh00d,4,8150,1904,
TripleMooonstre,2,8150,1905,
DevDan,1,8150,1906,
FAFO Properd,3,8150,1907,
secstrike,3,8150,1908,
CTF-MANH TUAN,1,8150,1909,
Serious Team Name,2,8125,1910,
Unkn0wnDB,5,8125,1911,
M3xicas_B0tn3t_,1,8125,1912,
_Z3r0_,1,8100,1913,
icanC2you,5,8100,1914,
LU datoriķi,3,8100,1915,
Sideways,4,8100,1916,
Hello Mello,7,8075,1917,
hiramf0,1,8075,1918,
DrunkDwarfs,4,8075,1919,
h1nterr3w3,3,8050,1920,
Fluffbutts,1,8050,1921,
BemYG,1,8050,1922,
NECC,5,8050,1923,
SudoNoSleep,1,8050,1924,
Rocket Rooks,6,8050,1925,
EzFlag,1,8025,1926,
CAUC,4,8025,1927,
5tr1d3r,2,7975,1928,
voltanyde,1,7975,1929,
Rounding Error,4,7925,1930,
sayonara,2,7925,1931,
RubixCube,3,7925,1932,
RootForce1,4,7925,1933,
Hackthebox Accra Meetup,8,7900,1934,
3ndL3ss_L|V,1,7875,1935,
Last Of Us,2,7825,1936,
The Archivists,3,7825,1937,
DarK@RMy,3,7775,1938,
Middle Earth,4,7775,1939,
R1yhtp,1,7775,1940,
Zer0Trace,1,7775,1941,
ma100,1,7775,1942,
hft1e35,1,7750,1943,
N00Bie,1,7750,1944,
hungy,1,7725,1945,
test_1x,1,7725,1946,
OhYeahSeC,4,7725,1947,
Playboi Kali,1,7725,1948,
5corp1on,1,7700,1949,
AUnoob,1,7675,1950,
NSIT,2,7675,1951,
MachoMacho,2,7675,1952,
MartineHack,1,7675,1953,
team name 1,1,7650,1954,
LonePwn,1,7650,1955,
Triumvirate,1,7625,1956,
FunAndNoFlags,3,7625,1957,
We Googled Everything,3,7600,1958,
Ulisse,1,7575,1959,
Cyber Aegis,7,7575,1960,
88forU1,2,7575,1961,
42LGang,1,7575,1962,
0x5ECCon5ul7,1,7550,1963,
DeathFlamingo,1,7550,1964,
UW Parkside,2,7550,1965,
Swinburne CyberS Club Casual,1,7550,1966,
Argenk,1,7550,1967,
Schrödinger's delinquents,1,7550,1968,
Nabucodonosor,1,7550,1969,
WB CS_10,4,7550,1970,
Bruteforce Brigade,5,7525,1971,
Anonymous2510,1,7525,1972,
ex futuro,2,7500,1973,
DestinationPartyTown,2,7500,1974,
BlackSword Security,3,7475,1975,
r4nd0m_m4n_t3am,2,7475,1976,
SetUID,2,7450,1977,
sesac1,1,7450,1978,
Nameless Monster,1,7450,1979,
838,1,7450,1980,
beginerhacker,2,7450,1981,
lgk_dzhura,13,7450,1982,
Brunton,1,7425,1983,
ELUSIVE,1,7425,1984,
Minus Zero Knowledge,2,7425,1985,
the Perm Bank,6,7425,1986,
0xM4CK1E,1,7425,1987,
yuuyu_solo,1,7400,1988,
we only solve misc,3,7400,1989,
Squareroots,1,7400,1990,
Not Mr. Robot1,1,7400,1991,
FT_VSS,3,7400,1992,
TheRamones,1,7400,1993,
BugBuben,2,7375,1994,
Flag{Not_Found},2,7375,1995,
something really creative,3,7375,1996,
Cozy Box,1,7350,1997,
Waffle Hauz,1,7350,1998,
Explosive Hunters,2,7350,1999,
r4c00ns,3,7325,2000,
OOO,1,7325,2001,
42ip,1,7300,2002,
YOP,1,7300,2003,
Satpam,3,7300,2004,
n1rb4n,3,7300,2005,
Mentholatum,1,7300,2006,
Team sO,2,7300,2007,
ncodeks,8,7275,2008,
Scaled MSP,3,7275,2009,
rooted06,3,7275,2010,
Low-hanging-flag,4,7275,2011,
ElderGeeks,2,7275,2012,
Intuix,1,7275,2013,
5CR1PT K1DD135,10,7250,2014,
YBN,2,7250,2015,
Kitsu,2,7250,2016,
Valhalla Vikings Best Cyber,4,7250,2017,
J8STi,1,7250,2018,
SLU,7,7250,2019,
T0xiccub3S,2,7225,2020,
WeBuyDucks,3,7225,2021,
BigBucks,4,7225,2022,
/tmp/red,2,7225,2023,
ELDORIAN FARMER,1,7225,2024,
yanel,1,7225,2025,
IgniteX,2,7225,2026,
Dark Angel 2510,1,7225,2027,
SoloCTF2025,1,7225,2028,
CybeRVisi0n,5,7200,2029,
Techn0xploit,4,7200,2030,
Deeno,5,7200,2031,
justwanttochecktheleaderboard,1,7200,2032,
YellowApple,2,7200,2033,
C1b3rB4ndits,3,7175,2034,
P4rad0x,3,7150,2035,
silic0rn,1,7125,2036,
CaffeineAddicts,2,7075,2037,
San Antonio Riverbrawlers,3,7050,2038,
Koblížci,2,7025,2039,
ChillGuys,2,7025,2040,
Unexploitable,5,7000,2041,
b34r5hell,4,6975,2042,
hello123123,1,6950,2043,
spookdoge,1,6925,2044,
xixi,1,6900,2045,
Asia,6,6825,2046,
laenix,1,6800,2047,
G00sebumps,1,6775,2048,
0x00CAM,1,6775,2049,
Die Trojanischen Pferdezüchter,4,6750,2050,
Yara Gyoza Mojitos,3,6750,2051,
0/P,2,6725,2052,
roitatouille,1,6725,2053,
Cyb3rGl1tch3rs,1,6725,2054,
ULearn,1,6725,2055,
HackDrip,1,6700,2056,
MuteAvery,1,6700,2057,
quick_draw,1,6700,2058,
5t0rm p00p3r5,1,6700,2059,
GungYukZaai,3,6675,2060,
GIT,2,6675,2061,
cyb3rbr0s,1,6675,2062,
bunniesGang,1,6650,2063,
fab-sec-go!,3,6650,2064,
Fabi[o],2,6650,2065,
CryJ4ckL33,2,6650,2066,
Intelli,2,6650,2067,
ClownStrike,4,6625,2068,
Bladerunners,7,6625,2069,
Faaarkd if i know,1,6625,2070,
YoloSolo,1,6625,2071,
M0stafa0x01,3,6600,2072,
Morpan's fellas,1,6600,2073,
WolfMoz,1,6600,2074,
HyperSpectrum,1,6600,2075,
TreePrawns,4,6600,2076,
ProjectGummyworm,5,6600,2077,
UQCyberSquad,5,6600,2078,
Iderei,1,6600,2079,
Twinkletoes,1,6575,2080,
Cyber_Apocalypse,5,6575,2081,
DyeTraders,4,6575,2082,
ctfrrteam,1,6575,2083,
asdasddsadsa,1,6550,2084,
openminds,1,6550,2085,
deepxor,1,6550,2086,
NoLawsJustHacking,1,6550,2087,
Petros-The-Monkey,1,6550,2088,
IDF,1,6525,2089,
exarcana,3,6525,2090,
CookieRookies,1,6525,2091,
Find_Fla9,1,6525,2092,
zingerwinger,1,6525,2093,
Zero Point Three.,3,6525,2094,
0bscur011,1,6525,2095,
MenschMaschine,1,6500,2096,
Big Red Cybears,1,6500,2097,
brainwash,3,6500,2098,
ow,1,6500,2099,
404_skill_not_found,2,6500,2100,
Null Raider,1,6500,2101,
Ex0rcists,7,6500,2102,
halfStackDevs,4,6475,2103,
Friends of the Forest,1,6475,2104,
Team721,1,6475,2105,
pwn.charity,5,6475,2106,
Horus.gg,1,6475,2107,
Glitch Monks,12,6475,2108,
Hakow,1,6450,2109,
TTP,3,6450,2110,
TheRyze,1,6450,2111,
Dungeon Crawler DIGIs,1,6450,2112,
RedTeamOps,2,6450,2113,
H@rdCr@ckers,3,6450,2114,
Off the Rails,2,6450,2115,
MIOS,1,6450,2116,
fetyan el quwa,1,6450,2117,
ISU CyberSycamores,1,6425,2118,
SecuriNets ISI,1,6425,2119,
Eagles and blind mice,1,6425,2120,
Scrap Overflow,2,6425,2121,
c0d3n@m3$,1,6425,2122,
T3VyIFRlYW0gTmFtZQ==,5,6425,2123,
Hollow Raiders,2,6425,2124,
Cyber Camp,3,6425,2125,
Red_Raven,1,6425,2126,
neverteam,1,6425,2127,
line0,1,6425,2128,
Pr1zR4k,1,6425,2129,
Shivzz,1,6425,2130,
PiBlitz,3,6400,2131,
LHETHA,1,6400,2132,
grin-din-din,1,6400,2133,
thangan,3,6400,2134,
CrazyLogic,3,6400,2135,
n00b135,3,6400,2136,
RedQueen,1,6400,2137,
Pink On Thursdays,4,6400,2138,
Doraneko,2,6400,2139,
JustHangingAround,1,6375,2140,
PwnTeras,5,6375,2141,
DaBadgerGang,3,6375,2142,
CyberDrivers,4,6375,2143,
Floppaa,3,6375,2144,
////,1,6375,2145,
rohaki,1,6375,2146,
Luluths,1,6375,2147,
SoloThomsr,1,6375,2148,
LogicalSquards,1,6375,2149,
Mestarit,1,6350,2150,
MaydayGh0st,1,6350,2151,
aopcjndfop,1,6350,2152,
RSE,1,6300,2153,
TkRJdw==,3,6300,2154,
The Antisocial,2,6300,2155,
LastFr3nchFry,1,6275,2156,
rollentube,1,6250,2157,
ObliviousPwns,1,6200,2158,
Leg.,3,6200,2159,
0xOri,1,6200,2160,
Colombian_Talents,2,6200,2161,
ShubsCore,2,6200,2162,
NESORA,1,6200,2163,
InfoSecIITR-3,1,6175,2164,
DreadStar,1,6175,2165,
R41d3r5,1,6175,2166,
d3pth f1rst s3arch,1,6175,2167,
618,1,6150,2168,
Andugundu,1,6150,2169,
Togenashi Togeari,1,6150,2170,
ONsen,5,6125,2171,
Brainport,2,6125,2172,
194021,1,6125,2173,
NoodlophileVN,1,6100,2174,
T1stP2ng34n,1,6075,2175,
Why Not So Serious,2,6050,2176,
Daemon Hunters,6,6050,2177,
Emptiness4028,1,6025,2178,
100Trying,1,6025,2179,
1 Man Wolf Pack,1,6025,2180,
TL05,1,5975,2181,
ZeroDayTeam,6,5950,2182,
nas1g3puk,4,5925,2183,
VxPx,6,5900,2184,
amongsus,1,5900,2185,
testetstets,1,5900,2186,
JigGaWatt Squad,1,5900,2187,
elsalover,1,5875,2188,
SWC,1,5875,2189,
Pulse,1,5850,2190,
ch3cke,1,5850,2191,
Polymero,1,5850,2192,
H@ck3d!,1,5825,2193,
pwnp4tr0l,1,5825,2194,
[ES] H4xors Team,2,5825,2195,
Nerd Herd,1,5825,2196,
Seirin High,1,5825,2197,
CyberDome,2,5825,2198,
Nameless003,1,5800,2199,
Piwo,1,5800,2200,
Digital Hemorrhoids,4,5800,2201,
Zopzop-nopstop-pwn-shop,1,5800,2202,
16j,1,5800,2203,
CrownedXanadu,1,5800,2204,
SecRidge,1,5800,2205,
Cybrs,1,5800,2206,
46 52,2,5800,2207,
thisisforjohn,2,5775,2208,
eepy princess association,3,5775,2209,
PLACEHOLDERPLACEHOLDER,1,5775,2210,
Ntiva,1,5775,2211,
Black Hole,2,5775,2212,
FL1TZ,3,5775,2213,
SUsDO,1,5775,2214,
C1ph3r2024,1,5750,2215,
Midnight Cipher Syndicate,1,5750,2216,
ReTrace,2,5750,2217,
Macarrones Con Chorizo,2,5750,2218,
HACKER_ROOKIES,2,5750,2219,
Glitch Gorillas,5,5750,2220,
idkagoodteamname,1,5750,2221,
we da best,1,5725,2222,
pisayatch,1,5725,2223,
42_Lyon,4,5725,2224,
CSEC_CyberSecurity,4,5725,2225,
Fl@g_Hun73r5,7,5725,2226,
DIAS,1,5700,2227,
Absolutely Pathetic Threat,1,5700,2228,
10100111001,1,5700,2229,
SAIT_CyberFire,1,5700,2230,
c@triver,3,5700,2231,
GKTeam,1,5700,2232,
Cipher Cats,2,5675,2233,
Kamkar3,1,5675,2234,
ctfr3d1,1,5675,2235,
Insecure Wi-Fi,2,5675,2236,
MiaTeam,1,5675,2237,
BringTheChaos,1,5675,2238,
BorderOfLife,1,5675,2239,
F0rg1ven,1,5675,2240,
Phishermen | IATechEd | DSM CC,3,5675,2241,
TestingOneSelf,1,5675,2242,
Potato Farmers,1,5675,2243,
Unsanitized_Input,4,5675,2244,
secutest01,1,5675,2245,
hackers101,4,5675,2246,
BlahLand,1,5650,2247,
Breachers,3,5625,2248,
Pentask,2,5625,2249,
Bashful Cats,1,5625,2250,
SoLoDoLoFoSho,1,5625,2251,
w0jtaz,1,5625,2252,
THE HACKTASTIC 4,3,5625,2253,
Cybertierre,2,5625,2254,
B0t Squ4d,1,5625,2255,
Triadic,3,5600,2256,
Verdel-Sec,1,5600,2257,
WorkSucksImGoingCTF,1,5600,2258,
Sh4d0w Gh0st,2,5600,2259,
TheCatsMeow,4,5600,2260,
AntiAnti,1,5600,2261,
ImNewbie,1,5600,2262,
TEAM RECON,5,5600,2263,
Munity,2,5600,2264,
Alert('Allen Sucks'),4,5575,2265,
R'lyeh,1,5575,2266,
Gene,1,5575,2267,
Lorem ipsum dolor sit amet,2,5575,2268,
zefvhbzjsfn,1,5575,2269,
BigByte,3,5575,2270,
SilentSea,1,5575,2271,
Apes Together Stronk,2,5575,2272,
nnss,1,5575,2273,
CyberFlowers,4,5575,2274,
randomplease,1,5575,2275,
zer0toh3ro,2,5575,2276,
Vox Machina,4,5575,2277,
SadBoy,4,5575,2278,
SPRT,2,5575,2279,
AnimalFarm,2,5575,2280,
Sf0d4,1,5575,2281,
EACYBERBOYS,2,5575,2282,
Hacknovers,5,5575,2283,
Gileser.exe,1,5550,2284,
B1smuth,1,5550,2285,
I penetratori,1,5550,2286,
CyberAvengers,2,5550,2287,
TSOM Whitehats,3,5550,2288,
HUNTEX,1,5550,2289,
LearnerForever,2,5550,2290,
Nova Raiders,1,5550,2291,
NoobsLatam,5,5525,2292,
Les Miahousse de couette,2,5525,2293,
play4fun,1,5525,2294,
LS Green Flags,2,5525,2295,
Zero Code,2,5500,2296,
zysgmzb,1,5450,2297,
CheeseNaN,1,5450,2298,
sarakotrung,1,5450,2299,
SheridanCyberSec,4,5450,2300,
Team Krabath,1,5450,2301,
Squad51,1,5450,2302,
(!!--(UFO)--!!),1,5450,2303,
Ryingo,1,5450,2304,
QuantumPhreaks,2,5425,2305,
Team soloQ,1,5400,2306,
WGO,1,5400,2307,
Team Crash-N-Burn,2,5375,2308,
UTSA Roadrunners,4,5375,2309,
CyberCossacks,2,5350,2310,
Team Never Care,3,5350,2311,
rc3p0c,1,5350,2312,
Bit Rot,1,5325,2313,
angel4628,1,5275,2314,
AGX,2,5275,2315,
All On Red,2,5225,2316,
CARI UANG SAKU,4,5225,2317,
acalla,1,5225,2318,
3 Idiots,2,5175,2319,
str4w_h4t5,4,5150,2320,
𝕄𝔸DS,2,5150,2321,
Seeelecao_x_mojojojo,2,5150,2322,
KryptosK,1,5150,2323,
4lch3my,1,5150,2324,
wowzaa,2,5125,2325,
0m3rKnight,1,5125,2326,
D0mest1c,1,5125,2327,
Vuln3r4,3,5125,2328,
PhSec,4,5100,2329,
CyberQuantumVail,3,5100,2330,
KeepCalmAndHackOn,2,5100,2331,
Fourz,1,5100,2332,
PhoebeNyx,1,5075,2333,
Bharosa Gang,1,5075,2334,
Jamaican Pandas,3,5075,2335,
br4dHTB,1,5075,2336,
pentestsec,3,5050,2337,
asdcxzcascas,1,5050,2338,
Ex1t_System,1,5050,2339,
DarkUniverse000,1,5050,2340,
MajinoTeam,1,5050,2341,
BerKhoas,3,5050,2342,
CrazyTrain,1,5050,2343,
ScareTheFlag,1,5025,2344,
Yeagerists,1,5025,2345,
nearsight,1,5025,2346,
Raccoon Byte,1,5025,2347,
HackForSafe,3,5025,2348,
BlackHatBandits,1,5025,2349,
Big-O,1,5025,2350,
Dodgeballers,1,5025,2351,
KindaBZ,1,5025,2352,
SoloBooLeveling,1,5025,2353,
cool guys,1,5025,2354,
TeamSocks,1,5000,2355,
Heckernull,2,5000,2356,
8J5qRuyXb3,1,4975,2357,
Oliva662,1,4975,2358,
Ramboo,1,4975,2359,
Cipher Glitch,1,4975,2360,
lopmade,1,4975,2361,
HunterZAR,2,4950,2362,
CyberSouls Guardians,2,4950,2363,
StevoMc,1,4950,2364,
n0b0dy0,3,4950,2365,
B@dLlama,3,4950,2366,
Lucuslavia,1,4950,2367,
hack & guess,5,4950,2368,
vampiresmurfs,4,4950,2369,
0xFROGS,3,4950,2370,
abce,1,4950,2371,
Dynigma,1,4950,2372,
DivByZeroExceptionals,1,4950,2373,
APTxL33T,2,4950,2374,
Trem0rs,1,4950,2375,
NMTD1881,3,4950,2376,
motminhakocanhet,2,4950,2377,
p3rf3ctr00t_ke,2,4950,2378,
Grey,3,4925,2379,
Cyber_Vanguard,1,4925,2380,
nigamelastic,2,4925,2381,
Information Acquisition Team,3,4925,2382,
HUSTLER,1,4900,2383,
Misha Zimbabwe,1,4900,2384,
13R4lN3R5,1,4900,2385,
APT-7,4,4900,2386,
MaewNam CPE,2,4900,2387,
WaveRunners,1,4900,2388,
tenshii,1,4875,2389,
scvrfvce,2,4875,2390,
Pos 1,1,4875,2391,
Bypassadores,6,4875,2392,
NKCyber2025,5,4875,2393,
cest moi,1,4875,2394,
WHITE OWL,1,4875,2395,
No Logs - No Crime (NL-NC),4,4875,2396,
LeFruity,1,4875,2397,
HMCDAT,1,4875,2398,
Risky Bizness,3,4875,2399,
OverQualified,2,4875,2400,
Changsuek,1,4875,2401,
RFC 1217,1,4850,2402,
silversfriends,1,4850,2403,
7,1,4850,2404,
DoomedtoSolo,1,4850,2405,
Sundown,1,4850,2406,
tr1ck3r,1,4850,2407,
Red Jessies,1,4850,2408,
regexp$,1,4850,2409,
Nhan_all_in_one,1,4850,2410,
TheNomads,1,4850,2411,
exDeviants,1,4850,2412,
Rubber Duckies,3,4850,2413,
M!rage0,2,4850,2414,
Eb00tAfterREb00tt,2,4825,2415,
Team eschbach,5,4825,2416,
0xDEADBEA7,1,4825,2417,
gijoe,1,4825,2418,
Perse,1,4825,2419,
UZERFLO,1,4825,2420,
billynomates,1,4825,2421,
The Encrypted Wood Elves,5,4825,2422,
HASHTEAM,1,4825,2423,
Cadetes,8,4825,2424,
hackze123,3,4825,2425,
BLKN,2,4825,2426,
BlackMagician,1,4825,2427,
Hunters Association,1,4825,2428,
Rsal,1,4825,2429,
lyndons checking this shit out,1,4825,2430,
dlteam,1,4825,2431,
cuDNN,1,4800,2432,
Kotoha,1,4800,2433,
Cheesy_business,1,4800,2434,
RootLagoa,2,4800,2435,
LAN-M,4,4800,2436,
eye-o,2,4800,2437,
FreezeTeam,1,4775,2438,
Noob Noob,1,4775,2439,
Axé Sec,3,4775,2440,
The_SIEM_Team,3,4775,2441,
wotop,1,4775,2442,
_ChillGuy_,1,4775,2443,
powerrangerzz,1,4775,2444,
Iedipipeau,1,4775,2445,
Grey Wardens,2,4775,2446,
crimsnghst,2,4775,2447,
Aloneinwired,1,4775,2448,
Jibey78,1,4775,2449,
Spektr,2,4775,2450,
4R605,1,4775,2451,
Sl0thy h4ck,1,4775,2452,
WashingtonRedskins,3,4750,2453,
Skhan_lktaf,4,4750,2454,
MeByMyself,1,4750,2455,
Crackheads,6,4750,2456,
NetXPirate,1,4750,2457,
XXXMountains,4,4750,2458,
RandomTeamForMe,1,4750,2459,
creanyx0,1,4750,2460,
MarBrook,1,4750,2461,
ColdCoff33,1,4750,2462,
55555,1,4750,2463,
Chapman University CTF,4,4750,2464,
기5,1,4750,2465,
scatteredSpyder,1,4750,2466,
phish_&_chips,1,4750,2467,
#FFFFFF,1,4750,2468,
0C_T34M,2,4750,2469,
0xE0F,1,4725,2470,
MajixCTF,1,4725,2471,
ERROR_418,1,4725,2472,
DurianLabs,1,4725,2473,
securityhub,1,4725,2474,
WRI Team,4,4725,2475,
Thecodebreakers,1,4725,2476,
EndaIsVeryFair,1,4725,2477,
Awaces,1,4725,2478,
parlayanyıldızlarkulübü,6,4725,2479,
i love my mother,3,4725,2480,
croak3r,1,4700,2481,
Blackbucks,1,4700,2482,
GlitchBusters,5,4700,2483,
DICT,4,4700,2484,
VORTEX Team,2,4700,2485,
ZeroDayXPloit,1,4700,2486,
YARMTUK,2,4700,2487,
MATV,2,4650,2488,
harous,1,4650,2489,
Amatsu,2,4625,2490,
GrosKiffeurs2CTF91,3,4625,2491,
Gr3ml1ns,2,4625,2492,
Sleshwave,1,4625,2493,
lab_tour7,2,4625,2494,
Deportes Melipilla,1,4600,2495,
[AI] Palisade Claude Code,1,4600,2496,2
[AI] Palisade Ensemble,1,4600,2497,3
P2501,4,4575,2498,
m46,1,4575,2499,
LinuxDesktop,1,4550,2500,
N00bs_is_here,1,4550,2501,
Serial 4 Cyber,2,4550,2502,
NumbSkulls,2,4525,2503,
walleeb,1,4475,2504,
Solohackzzz,1,4475,2505,
ir0nstone,1,4475,2506,
WeAre,1,4475,2507,
17X61,1,4475,2508,
PracticeTeam001,1,4450,2509,
Root Masters,1,4450,2510,
TF141,6,4425,2511,
NXLL,2,4425,2512,
TinyLittleTeam,1,4425,2513,
ka1t0k1d,1,4425,2514,
The Savage Seagulls,2,4425,2515,
Diary of a Wimpy Kid,1,4400,2516,
babavoss,2,4350,2517,
SUITT,1,4350,2518,
CloudSecMG,1,4325,2519,
Hash Slinging Hackers,2,4325,2520,
flagtracer,1,4325,2521,
OneTouch,1,4325,2522,
Cyber defender,2,4325,2523,
tritoke,1,4300,2524,
onlyforensic,2,4300,2525,
sdklfhjsgivudhsfkgl;jhdsuog,2,4300,2526,
BubbleBeast,6,4275,2527,
LightningMcBeer,1,4275,2528,
ArtemisShadow,2,4275,2529,
snd.lskdn,1,4275,2530,
owl_d,1,4275,2531,
OutOfZero,2,4275,2532,
Beer League Hackers,2,4275,2533,
Bihari CTF,1,4275,2534,
I_cm,1,4275,2535,
SpaghettiCoders,2,4250,2536,
M0x65,1,4250,2537,
Nekopizza,1,4250,2538,
HackTheBox,15,4250,2539,
acdwas,1,4250,2540,
G_R4w,1,4250,2541,
Muy p0c0,6,4250,2542,
Solo_Bolo,1,4250,2543,
sesamw syrip,4,4250,2544,
Robyn12Solo,1,4225,2545,
troglodytes,1,4225,2546,
Is CTF delicious?,2,4200,2547,
Revolters-0X,1,4200,2548,
LFY,1,4200,2549,
Gia đình văn hóa,2,4200,2550,
CyberWarriors2024,2,4175,2551,
Loopback127001,1,4150,2552,
The Dark Knight,1,4150,2553,
Roomys team,1,4150,2554,
Matty's team,1,4150,2555,
Test.jpg,1,4150,2556,
TFSProdSec,2,4150,2557,
Ningyou,1,4150,2558,
Hackrew,1,4150,2559,
k1773r,1,4150,2560,
kkkkkkkkkkkk,1,4150,2561,
RavenEye,1,4150,2562,
r00t@localhost,2,4150,2563,
NGAS,1,4125,2564,
DurinsBlessing,1,4125,2565,
Newbie Solo,1,4125,2566,
Mancos,2,4125,2567,
Obsedianz,1,4125,2568,
FlyingWombat,1,4125,2569,
D6ath E9ters,1,4125,2570,
MySelfLingston2,1,4100,2571,
LBX7683,2,4100,2572,
j0xf,1,4075,2573,
HackTWK,3,4075,2574,
:o,1,4075,2575,
BOHHHHHHHHHH,1,4075,2576,
Moffel & Piertje,2,4075,2577,
Solo_Beginner,1,4050,2578,
ELLANIOS ELLHN,1,4050,2579,
BitWalls,4,4050,2580,
C0d3 Bre4k3rs,1,4025,2581,
Cybervets.org,6,4025,2582,
The Mighty Mallards,2,4025,2583,
The solo,1,4025,2584,
Scarface,1,4025,2585,
Buh,2,4025,2586,
Linux Cultist,1,4025,2587,
deadlyrabbit,1,4025,2588,
kio,1,4025,2589,
